"name","pop2020"
"Albania","2877.7970"
"Algeria","43851.0440"
"Andorra","77.2650"
"Antigua and Barbuda","97.9290"
"Argentina","45195.7740"
"Australia","25499.8840"
"Austria","9006.3980"
"Bahamas","393.2440"
"Bahrain","1701.5750"
"Barbados","287.3750"
"Belarus","9449.3230"
"Belgium","11589.6230"
"Belize","397.6280"
"Bhutan","771.6080"
"Bolivia","11673.0210"
"Bosnia and Herzegovina","3280.8190"
"Botswana","2351.6270"
"Brazil","212559.4170"
"Burkina Faso","20903.2730"
"Canada","37742.1540"
"Chile","19116.2010"
"China","1439323.7760"
"Colombia","50882.8910"
"Cook Islands","17.5640"
"Costa Rica","5094.1180"
"Croatia","4105.2670"
"Cuba","11326.6160"
"Cyprus","1207.3590"
"Czech Republic","10708.9810"
"Denmark","5792.2020"
"Ecuador","17643.0540"
"Eritrea","3546.4210"
"Estonia","1326.5350"
"Fiji","896.4450"
"Finland","5540.7200"
"France","65273.5110"
"Gabon","2225.7340"
"Georgia","3989.1670"
"Germany","83783.9420"
"Ghana","31072.9400"
"Greece","10423.0540"
"Guyana","786.5520"
"Hong Kong","7496.9810"
"Hungary","9660.3510"
"Iceland","341.2430"
"Iran","83992.9490"
"Isle of Man","85.0330"
"Israel","8655.5350"
"Italy","60461.8260"
"Jamaica","2961.1670"
"Japan","126476.4610"
"Kazakhstan","18776.7070"
"Kiribati","119.4490"
"Kuwait","4270.5710"
"Latvia","1886.1980"
"Liechtenstein","38.1280"
"Lithuania","2722.2890"
"Luxembourg","625.9780"
"Macau","649.3350"
"Malaysia","32365.9990"
"Maldives","540.5440"
"Malta","441.5430"
"Mauritius","1271.7680"
"Mexico","128932.7530"
"Moldova","4033.9630"
"Monaco","39.2420"
"Montenegro","628.0660"
"Namibia","2540.9050"
"Netherlands","17134.8720"
"New Zealand","4822.2330"
"Niue","1.6260"
"Oman","5106.6260"
"Pakistan","220892.3400"
"Palau","18.0940"
"Panama","4314.7670"
"Paraguay","7132.5380"
"Peru","32971.8540"
"Poland","37846.6110"
"Portugal","10196.7090"
"Qatar","2881.0530"
"Romania","19237.6910"
"Russia","145934.4620"
"Rwanda","12952.2180"
"Saint Lucia","183.6270"
"Saint Vincent and the Grenadines","110.9400"
"Samoa","198.4140"
"San Marino","33.9310"
"Saudi Arabia","34813.8710"
"Serbia","8737.3710"
"Seychelles","98.3470"
"Singapore","5850.3420"
"Slovakia","5459.6420"
"Slovenia","2078.9380"
"South Korea","51269.1850"
"Spain","46754.7780"
"Sri Lanka","21413.2490"
"Sweden","10099.2650"
"Switzerland","8654.6220"
"Taiwan","23816.7750"
"Thailand","69799.9780"
"Tonga","105.6950"
"Trinidad and Tobago","1399.4880"
"Tunisia","11818.6190"
"Turkey","84339.0670"
"Ukraine","43733.7620"
"United Arab Emirates","9890.4020"
"United Kingdom","67886.0110"
"Uruguay","3473.7300"
"Uzbekistan","33469.2030"
"Vanuatu","307.1450"
"Venezuela","28435.9400"
"Zambia","18383.9550"
